question_title,question_order,name,model_tag,tags,type,mean,median,std,sem,ci_95
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,DDS_f7_script5_clean_37_waitingroom1_Marantz_ch6-enhanced-100p.wav,not_synthetic,DDS_f7_script5_clean_37_waitingroom1_Marantz_ch6.wav;female;not_synthetic,A,5.0,5.0,0.0,0.0,0.0
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,Jacek_Audacity_v3-enhanced-100p.wav,not_synthetic,Jacek_Audacity_v3.wav;male;not_synthetic,A,2.4,2.0,1.02,0.51,1.416
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,p238_421_mic1_0_noisy.wav,synthetic,p238_421_mic1_0_noisy.wav;female;synthetic,A,1.8,2.0,0.748,0.374,1.039
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,Aija-enhanced-100p.wav,not_synthetic,Aija.wav;female;not_synthetic,A,4.6,5.0,0.8,0.4,1.111
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,p233_197_mic2_0_noisy.wav,synthetic,p233_197_mic2_0_noisy.wav;female;synthetic,A,1.6,1.0,1.2,0.6,1.666
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,p318_300_mic1_0_noisy-enhanced-100p.wav,synthetic,p318_300_mic1_0_noisy.wav;female;synthetic,A,4.8,5.0,0.4,0.2,0.555
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,DDS_f7_script5_clean_37_waitingroom1_Marantz_ch6.wav,not_synthetic,DDS_f7_script5_clean_37_waitingroom1_Marantz_ch6.wav;female;not_synthetic,A,4.0,4.0,1.095,0.548,1.521
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,p305_099_mic2_0_noisy.wav,synthetic,p305_099_mic2_0_noisy.wav;female;synthetic,A,1.8,1.0,1.6,0.8,2.221
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,karol_1.wav,not_synthetic,karol_1.wav;male;not_synthetic,A,2.4,2.0,0.49,0.245,0.68
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,DDS_f9_script3_clean_32_livingroom1_Marantz_ch5.wav,not_synthetic,DDS_f9_script3_clean_32_livingroom1_Marantz_ch5.wav;female;not_synthetic,A,3.8,4.0,0.4,0.2,0.555
